AccessionNumber,ExpeditionKeyword,GlobalID,Taxon,Date,CollectorName,CollectionNumber,OtherCollectors,Provenance,DescriptionOfSpecies,MaterialType,SampledPopulationSize,SampledAreaWidth,SampledAreaLength,SampledAreaUnit,NumberofIndividualsSampled,NumberofSamplesPerIndividual,SamplingMethod,NumberofVouchers,NumberofDNASpecimens,AssociatedSpecies,Country,StateProvince,CountyDistrict,CollectionLocality,LocationDetails,DDLatitude,DDLongitude,GPSAccuracy,Altitude,AltitudeUnit,GeocodeMethod,PropertyOwnershipType,PropertyContactInfo,HabitatGroup,Habitat,SoilTexture,Slope,Exposure,Aspect,PhenologyofPopulation,NotesonHabitatorSoil,OtherCollectionInformation,MotherPlantNum
,,,Quercus arkansana,,,,,,"tree,15' tall, double trunks",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Oxydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59048,-86.46818,,30,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,"some acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to be spar",0,Semi shade,,,"some acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to be spar",,FL-OKA-3-13
,,,Quercus arkansana,,,,,,"Trees to 20' tall, thick papery leaves",,,,,,,,,,,"Quercus myrtifolia,Pinus clausa, Quercus geminata,Vitis rotundifolia, Magnolia grandiflora, Ilex opaca, Cladonia sp., Vaccinium arboreum, Sideroxylon sp., Quercus elliottii, Vaccinium corymbosum",United States,Florida,Okaloosa,Fred Gannon Rocky Bayou State Park,SW side of Sandy Pine Trail,30.49317,-86.42668,,15,Meters,GPS,State,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"Big population, healthy acorn set. Population, ~40 individuals, 15 mature trees. Most mature trees have some to small amount of acorn set.  Population in fair to good health. (acorn possibly viable).",FL-OKA-5-14
,,,Quercus arkansana,,,,,,"Trees to 20' tall, thick papery leaves",,,,,,,,,,,"Quercus myrtifolia,Pinus clausa, Quercus geminata,Vitis rotundifolia, Magnolia grandiflora, Ilex opaca, Cladonia sp., Vaccinium arboreum, Sideroxylon sp., Quercus elliottii, Vaccinium corymbosum",United States,Florida,Okaloosa,Fred Gannon Rocky Bayou State Park,SW side of Sandy Pine Trail,30.49437,-86.42486,,15,Meters,GPS,State,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"Big population, healthy acorn set. Population, ~40 individuals, 15 mature trees. Most mature trees have some to small amount of acorn set.  Population in fair to good health.; 10/24/17 viability low , acorn worm damage high",FL-OKA-5-10
,,,Quercus arkansana,,,,,,"Trees to 20' tall, thick papery leaves",,,,,,,,,,,"Quercus myrtifolia,Pinus clausa, Quercus geminata,Vitis rotundifolia, Magnolia grandiflora, Ilex opaca, Cladonia sp., Vaccinium arboreum, Sideroxylon sp., Quercus elliottii, Vaccinium corymbosum",United States,Florida,Okaloosa,Fred Gannon Rocky Bayou State Park,SW side of Sandy Pine Trail,30.49719,-86.42523,,15,Meters,GPS,State,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"Big population, healthy acorn set. Population, ~40 individuals, 15 mature trees. Most mature trees have some to small amount of acorn set.  Population in fair to good health.; 10/24/17 viability low, acorn worm damage high",FL-OKA-5-7
,,,Quercus arkansana,,,,,,"Trees to 20' tall, thick papery leaves",,,,,,,,,,,"Quercus myrtifolia,Pinus clausa, Quercus geminata,Vitis rotundifolia, Magnolia grandiflora, Ilex opaca, Cladonia sp., Vaccinium arboreum, Sideroxylon sp., Quercus elliottii, Vaccinium corymbosum",United States,Florida,Okaloosa,Fred Gannon Rocky Bayou state Park,SW side of Sandy pine trail,30.49733,-86.42528,,15,Meters,GPS,,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"Population, ~40 individuals, 15 mature trees. Most mature trees have some to small amount of acorn set.  Population in fair to good health.",FL-OKA-5-2
,,,Quercus arkansana,,,,,,"Trees to 20' tall, thick papery leaves",,,,,,,,,,,"Quercus myrtifolia,Pinus clausa, Quercus geminata,Vitis rotundifolia, Magnolia grandiflora, Ilex opaca, Cladonia sp., Vaccinium arboreum, Sideroxylon sp., Quercus elliottii, Vaccinium corymbosum",United States,Florida,Okaloosa,Fred Gannon Rocky Bayou State Park,SW side of Sandy pine trail,30.49738,-86.42537,,15,Meters,GPS,State,,"Woodland, forest and other wooded land",,"Population, ~40 individuals, 15 mature trees. Most mature trees have some to small amount of acorn set.  Population in fair to good health.; 10/24/17 viability low, acorn worm damage high",0,Semi shade,,,"Population, ~40 individuals, 15 mature trees. Most mature trees have some to small amount of acorn set.  Population in fair to good health.; 10/24/17 viability low, acorn worm damage high","Big population, healthy acorn set",FL-OKA-5-6
,,,Quercus arkansana,,,,,,"Trees to 20' tall, thick papery leaves",,,,,,,,,,,"Quercus myrtifolia,Pinus clausa, Quercus geminata,Vitis rotundifolia, Magnolia grandiflora, Ilex opaca, Cladonia sp., Vaccinium arboreum, Sideroxylon sp., Quercus elliottii, Vaccinium corymbosum",United States,Florida,Okaloosa,Fred Gannon Rocky Bayou State Park,SW side of Sandy pine trail,30.4974,-86.42503,,15,Meters,,,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"Big population, healthy acorn set. Population, ~40 individuals, 15 mature trees. Most mature trees have some to small amount of acorn set.  Population in fair to good health.; 10/24/17 viability low, acorn worm damage high",FL-OKA-5-9
,,,Quercus arkansana,,,,,,"Trees to 20' tall, thick papery leaves",,,,,,,,,,,"Quercus myrtifolia,Pinus clausa, Quercus geminata,Vitis rotundifolia, Magnolia grandiflora, Ilex opaca, Cladonia sp., Vaccinium arboreum, Sideroxylon sp., Quercus elliottii, Vaccinium corymbosum",United States,Florida,Okaloosa,Fred Gannon Rocky Bayou State Park,SW side of Sandy Pine Trail,30.49742,-86.42512,,15,Meters,GPS,State,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"Big population, healthy acorn set. Population, ~40 individuals, 15 mature trees. Most mature trees have some to small amount of acorn set.  Population in fair to good health.; 10/24/17 viability low, acorn worm damage high",FL-OKA-5-8
,,,Quercus arkansana,,,,,,"trees, to 15' tall",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Owydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59098,-86.46737,,34,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"Great acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to be spa",FL-OKA-3-4
,,,Quercus arkansana,,,,,,"trees, to 15' tall",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Owydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59116,-86.46738,,40,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"little acorn set on individual.    numerous seedlings around it.                           Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor",FL-OKA-3-2
,,,Quercus arkansana,,,,,,"trees, to 15' tall",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Owydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59116,-86.46738,,40,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"Very little acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to ",FL-OKA-3-3
,,,Quercus arkansana,,,,,,"trees, to 15' tall",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Owydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59139,-86.46707,,32,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"Decent acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to be sp",FL-OKA-3-5
,,,Quercus arkansana,,,,,,"trees, to 15' tall",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Owydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59179,-86.46717,,30,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"some acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to be spar",FL-OKA-3-8
,,,Quercus arkansana,,,,,,"trees, to 15' tall",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Owydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59179,-86.46717,,30,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"some acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to be spar",FL-OKA-3-7
,,,Quercus arkansana,,,,,,"trees, to 15' tall",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Owydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59179,-86.46717,,30,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"some acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to be spar",FL-OKA-3-9
,,,Quercus arkansana,,,,,,"trees, to 15' tall",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Owydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59179,-86.46717,,30,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,0,Semi shade,,,,"some acorn set on individual, good set last year based on caps.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contrac",FL-OKA-3-6
,,,Quercus arkansana,,,,,,"trees, to 15' tall",,,,,,,,,,,"Pinus clausa, Magnolia grandiflora, Cornus florida, Calicarpa americana, Quercus hemisphaerica, Quercus incana, Prunus serotina, Illicium floridanum, Magnolia virginica, Sabal minor, Vaccinium arboreum, Oxydendron arboreum, Yucca filamentosa",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K10 TTA,30.59077,-86.46765,,30,,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,"some acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to be spar",0,Semi shade,,,"some acorn set on individual.                               Population Healthy, in general, with low to moderate seed set, and good presence of seedlings. Area Scheduled for timber harvest in the next year or 2 by contractor. Trees are unlikely to be spar",,FL-OKA-3-10
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Magnolia grandiflora, Pinus palustris, Clethra acuminata, Hamamelis virginiana, Sabal minor, Quercus hemisphaerica, Quercus myrtifolia,",United States,Florida,Okaloosa,"Eglin Airforce Base, Choctaw E unit",L10 TTA,30.54385,-86.3956,,25,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,15,Semi shade,,,,No acorn set on individual.,FL-OKA-2-3a
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Magnolia grandiflora, Pinus palustris, Clethra acuminata, Hamamelis virginiana, Sabal minor, Quercus hemisphaerica, Quercus myrtifolia,",United States,Florida,Okaloosa,"Eglin Airforce Base, Choctaw E unit",L10 TTA,30.5439,-86.39567,,26,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,15,Semi shade,,,,"No acorn set on individual.                                                                         Population generally healthy, but poor to no seed set. Logging  likely occurred in area in past 10 years.",FL-OKA-2-4
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Magnolia grandiflora, Pinus palustris, Clethra acuminata, Hamamelis virginiana, Sabal minor, Quercus hemisphaerica, Quercus myrtifolia,",United States,Florida,Okaloosa,"Eglin Airforce Base, Choctaw E unit",L10 TTA,30.54391,-86.39548,,24,Meters,GPS,,,"Woodland, forest and other wooded land",,,15,Semi shade,,,,"Small amount of acorn set on individual. likely from shade.                                                                           Population generally healthy, but poor to no seed set. Logging  likely occurred in area in past 10 years.",FL-OKA-2-2
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Magnolia grandiflora, Pinus palustris, Clethra acuminata, Hamamelis virginiana, Sabal minor, Quercus hemisphaerica, Quercus myrtifolia,",United States,Florida,Okaloosa,"Eglin Airforce Base, Choctaw E unit",L10 TTA,30.54397,-86.39572,,27,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,15,Semi shade,,,,"No acorn set on individual.                                                                         Population generally healthy, but poor to no seed set. Logging  likely occurred in area in past 10 years.",FL-OKA-2-5
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Magnolia grandiflora, Pinus palustris, Clethra acuminata, Hamamelis virginiana, Sabal minor, Quercus hemisphaerica, Quercus myrtifolia,",United States,Florida,Okaloosa,"Eglin Airforce Base, Choctaw E unit",L10 TTA,30.54407,-86.39585,,28,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,15,Semi shade,,,,"Immature individual. Healthy.                                                                       Population generally healthy, but poor to no seed set. Logging  likely occurred in area in past 10 years.",FL-OKA-2-6
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Sabal minor, Pinus clausa, Quercus laevis, quercus hemisphaerica, Cladonia sp., Vaccinium arboreum, Ilex vomitoria, Calicarpa amer, Smilax sp., Magnolia grandiflora",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",,30.55415,-86.49227,,47,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,,Semi shade,,,,,FL-OKA-1-2
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Sabal minor, Pinus clausa, Quercus laevis, quercus hemisphaerica, Cladonia sp., Vaccinium arboreum, Ilex vomitoria, Calicarpa amer, Smilax sp., Magnolia grandiflora",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",,30.55422,-86.49219,,46,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,"Sandy, but organic rich soil.",,Semi shade,,,"Sandy, but organic rich soil.","No Acorn set. some Die back, likely from shade.                                                    Population at least 10 individuals. All show significant die back, partly from shade.some leaf miner and fungal damage throughout poulation. 6 mature trees,",FL-OKA-1-3
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Sabal minor, Pinus clausa, Quercus laevis, quercus hemisphaerica, Cladonia sp., Vaccinium arboreum, Ilex vomitoria, Calicarpa amer, Smilax sp., Magnolia grandiflora",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K23 TTA,30.55424,-86.49216,,46,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,"Sandy, but organic rich soil.",,Semi shade,,,"Sandy, but organic rich soil.","Individual immature.Population at least 10 individuals. All show significant dieback, partly from shade.some leaf miner and fungal damage throughout population. 6 mature trees, presence of small trees 3' tall. Poor acorn set across population",FL-OKA-1-4
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Sabal minor, Pinus clausa, Quercus laevis, quercus hemisphaerica, Cladonia sp., Vaccinium arboreum, Ilex vomitoria, Calicarpa amer, Smilax sp., Magnolia grandiflora",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K23 TTA,30.55454,-86.4922,,47,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,"Sandy, but organic rich soil.",,Semi shade,,,"Sandy, but organic rich soil.","Good Acorn set on individual. some die back , likely from shade.                  Population at least 10 individuals. All show significant dieback, partly from shade.some leaf miner and fungal damage throughout poulation. 6 mature trees, presence of small",FL-OKA-1-5
,,,Quercus arkansana,,,,,,"trees, to 20' tall",,,,,,,,,,,"Sabal minor, Pinus clausa, Quercus laevis, quercus hemisphaerica, Cladonia sp., Vaccinium arboreum, Ilex vomitoria, Calicarpa amer, Smilax sp., Magnolia grandiflora",United States,Florida,Okaloosa,"Eglin Airforce Base, Jackson South Unit",K23 TTA,30.55487,-86.49066,,45,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,"Sandy, but organic rich soil.",,Semi shade,,,"Sandy, but organic rich soil.","Small amount of Acorn set on individual. significan Die back of branches , likely from shade.                                         Population at least 10 individuals. All show significant dieback, partly from shade.some leaf miner and fungal damage thr",FL-OKA-1-6
,,,Quercus arkansana,,,,,,"trees, to 20' tall, sinuate leaf margins",,,,,,,,,,,"Magnolia grandiflora, Pinus palustris, Clethra acuminata, Hamamelis virginiana, Sabal minor, Quercus hemisphaerica, Quercus myrtifolia,",United States,Florida,Okaloosa,"Eglin Airforce Base, Choctaw E unit",,30.54398,-86.39573,,26,Meters,GPS,Federal-DOD,,"Woodland, forest and other wooded land",,,15,Semi shade,,,,"No acorn set on individual.                                                                       Population generally healthy, but poor to no seed set. Logging  likely occurred in area in past 10 years.",FL-OKA-2-3b
,,,Quercus arkansana,,,,,,"Upright, strongly excurrent, 12-14"" DBH, good healthy tree, flagged with orange tape. Good specimen with decent acorn set.",,,,,,,,,,,"Quercus phellos, Rubus, Solidago, Quercus fulcata",United States,Louisiana,Caddo,Nature Conservancy,"At south side of Standard Oil Rd., look for orange flagging tape",32.98663,-94.01584,,200,Meters,unknown,The Nature Conservancy,The Nature Conservancy-Caddo Black Bayou,"Woodland, forest and other wooded land",,"Sand/gravel, heavily disturbed on raised berm, just along bayou.",,Full sun,,,"Sand/gravel, heavily disturbed on raised berm, just along bayou.","Good specimen with decent acorn set; worth returning to in fall 2021; left orange flagging tape, bring tarp, pole saw, climbing gear; collected 2 immature acorns for tissue culture trials. Edit: Not re-collected in fall 2021, mother plant tag not attached",840-2021-0006
,,,Quercus austrina,,,,,,"White oak group, medium/large, broad branching, tree 40-60', single trunk, 16-18"" DBH, flaky, similar to Quercus alba",,,,,,,,,,,"Quercus phellos, Baccharis halimifolia, Celtis laevigata, Cornus alternifolia, Juniperus virginiana, Fraxinus pennsylvanica",United States,Alabama,Marengo,County Rd 14,,32.23167,-87.54361,,65,Meters,GPS,,Patrick Thompson- Auburn University. Collected from right of way.,"Woodland, forest and other wooded land",,"roadside, sandy, loose, semi-dense forest",0,Full sun,,,"roadside, sandy, loose, semi-dense forest","""Bastard white oak"" 71 viable acorns, 4 non-viable",AL-MAR-2-2
,,,Quercus oglethorpensis,,,,,,"White oak group, open grown along fence, excurrent habitat, healthy branching",,,,,,,,,,,"Pinus elliotii, Pinus taeda, Quercus stellata, Quercus phellos, Poncirus sp., Ulmus sp., Chamaecrista fasciculata, Lonicera sp.",United States,Alabama,Marengo,"County Rd 14, Thomaston, AL",,32.17722,-87.52306,,,,,,Patrick Thompson- Auburn University. Collected from right of way.,"Woodland, forest and other wooded land",,,0,Full sun,,,,36 viable acorns (5 non-viable),AL-MAR-1-1
,,,Quercus oglethorpensis,,,,,,"White oak group, single trunk",,,,,,,,,,,"Quercus phellos, Baccharis halimifolia, Celtis laevigata, Cornus alternifolia, Juniperus virginiana, Fraxinus pennsylvanica",United States,Alabama,Marengo,County Rd 14,,32.23139,-87.54361,,67,Meters,GPS,,Patrick Thompson- Auburn University. Collected from right of way.,"Woodland, forest and other wooded land",,,0,,,,,131 viable acorns (5 non-viable),AL-Mar-2-3
,,,Quercus phellos,,,,,,"Willow oak, common in the south, single trunk woody species",,,,,,,,,,,"Quercus phellos, Baccharis halimifolia, Celtis laevigata, Cornus alternifolia, Juniperus virginiana, Fraxinus pennsylvanica",United States,Alabama,Marengo,County Rd 14,,32.17722,-87.5,,48,Meters,GPS,,Patrick Thompson- Auburn University. Collected from right of way.,,,,,,,,,25 viable acorns (0 non-viable),AL-MAR-2-1
,,,Quercus sinuata var. sinuata,,,,,,,,,,,,,,,,,"Quercus phellos, Baccharis halimifolia, Celtis laevigata, Cornus alternifolia, Juniperus virginiana, Fraxinus pennsylvanica",United States,Alabama,Wilcox,County Rd 14,,32.17722,-87.5,,48,Meters,GPS,,Patrick Thompson- Auburn University. Collected from right of way.,"Woodland, forest and other wooded land",,,0,Full sun,,,,"74 viable acorns (0 non-viable, float test)",AL-WIL-1-1
,,,Quercus sp.,,,,,,"Single tree, height 15', smooth bark. Possibly hybid containing Q. incana",,,,,,,,,,,"Lespedeza sp., Rubus sp., Pityopsis graminifolia, Prunus sp., Vaccinium arboreum, Quercus incana, Quercus marilandica, Pinus palustris, Pinus taeda, Sassafras albidum, Lespedeza bicolor, Smilax sp.",United States,Georgia,Chattahoochee,Fort Benning,,32.39557,-84.7687,,156,Meters,GPS,,,"Woodland, forest and other wooded land",,"soil a red loam, sandy with red clay and silt",,Full sun,,,"soil a red loam, sandy with red clay and silt",no acorn set,GA-CHA-1-2
,,,Rhododendron viscosum,,,,,,"large woody shrub, 15' tall",,,,,,,,,,,"Pinus glabra, Illicium Floridanum, Quercus incana, Fagus grandifolia, Arundinaria gigantea",United States,Florida,Liberty,"Apalachicola Bluffs and ravines Preserve (The Nature conservancy), Sweetwater tract east",East of county road 270,30.53041,-84.96421,,,,,The Nature Conservancy,,"Woodland, forest and other wooded land",,"side of stream, sandy bottom",,Semi shade,,,"side of stream, sandy bottom",,FL-LIB-1-4
,,,Woodwardia areolata,,,,,,,,,,,,,,,,,"Acer saccharum var. florida, Illicium Floridanum, Rhapidophyllum hystrix, Carpinus caroliniana, Nyssa sp., Pinus glabra, Arisaema triphyllum",United States,Florida,Liberty,"Apalachicola Bluffs and ravines Preserve (The Nature conservancy), Sweetwater tract east",East of county road 270,30.52579,-84.96973,,,,,The Nature Conservancy,,"Woodland, forest and other wooded land",,lightly sloping woodland near road,,Semi shade,,,lightly sloping woodland near road,,FL-LIB-1-7
,2017 APGA Grant Trips,,Aesculus parviflora,5/27/2017,"Chauncey, Jared",23,David Gunn,Wild,"Rhizomatous clump to 15' tall. White flowers, salmon anthers, faint sweet smell. Flowering. Clone/Mother# Al-mon-1-1.",,,,,,,,,2,1,,United States,Alabama,Montgomery,,Jackson Creek. Clump right by Jackson Creek 50' from bridge.,31.88817,-86.03112,,180,m,GPS,,,,,,,,,,,,
,2017 APGA Grant Trips,,Aesculus parviflora,5/27/2017,"Chauncey, Jared",24,David Gunn,Wild,"Woody shrubs, large clonal mass (1000+). Cylindrical panicles of white flowers, salmon anthers, sweet scent. Flowering. DNA Specimens: 2. Clone/Mother# AL-pik-1-1.",,,,,,,,,4,1,,United States,Alabama,Pike,,"Patsaliga Creek. Shady Grove Rd. and Patsaliga Creek, occurring by road and into forest 500 M.",31.90805,-86.17472,,96,m,GPS,,,,,,,,,,,,
,2017 APGA Grant Trips,,Aesculus parviflora,6/5/2017,"Chauncey, Jared",23-A,David Gunn,Wild,"Woody shrubs, to 10' tall, rhizomatous, loosely spreading, open clumps with open tree like habit, leaf petiole reddish near ends. DNA. Specimens: 1. Clone/Mother# Al-mon-1-2.",,,,,,,,,0,1,,United States,Alabama,Monroe,,Haines Island Park. Woods just east of Davis Fery Rd.,31.72361,-87.46889,,50,m,GPS,,,,,,,,,,,,
,2017 APGA Grant Trips,,Aesculus parviflora,6/7/2017,"Chauncey, Jared",71,David Gunn,Wild,"Small woody shrub, to 3' tall, rarely to 8'. Rhizomatous, densely spreading, forming large ground cover colonies. Specimens along roadside in sun in bud, forming long cylindrical panicles of white flowers.; flowering. Clone/Mother# WAL-1-1. Population tra",,,,,,,,,3,1,,United States,Alabama,Walker,,"Near Oakman, AL, 2 miles N of Tuscaloosa county line; W of AL 69, S of Bridge, Just off road in woods.",33.62286,-87.36376,,108,m,GPS,,,,,,,,,,,,
,2017 APGA Grant Trips,,Aesculus parviflora,6/7/2017,"Chauncey, Jared",73,David Gunn,Wild,"Woody shrub, to 6', rhizomatous, loosely spreading. Specimens in sun in bud, long panicles of white buds; flowering. Clone/Mother# AL-FAY-1-1.",,,,,,,,,3,1,,United States,Alabama,Fayette,,"Blue Water Creek. S of Blue Water Creek Road, and past power line cut into the woods, down to Blue Water Creek.",33.65651,-87.43331,,125,m,GPS,,,,,,,,,,,,
,2017 APGA Grant Trips,,Aesculus parviflora,6/7/2017,"Chauncey, Jared",74,David Gunn,Wild,"Woody shrub, densely rhizomatous, forming ground cover 1' tall, occasionally treelike to 8'. Leaf petiole reddish at proximal and distal ends; vegetative. Clone/Mother# AL-BLO-1-1. Population on downward slope to spring/creek.",,,,,,,,,3,1,,United States,Alabama,Blount,,"S of Blount Springs. Beeline Highway (HWY 31), NW and SE sides of roads, into woods.",33.9073,-86.83046,,136,m,GPS,,,,,,,,,,,,
,2017 APGA Grant Trips,,Aesculus parviflora,6/7/2017,"Chauncey, Jared",74-A,David Gunn,Wild,"Woody shrub, densely rhizomatous, forming ground cover 1' tall, occasionally treelike to 8'. Leaf petiole reddish at proximal and distal ends; vegetative. Clone/Mother# AL-BLO-1-2. Population sloping uphill.",,,,,,,,,0,1,,United States,Alabama,Blount,,"S of Blount Springs. Beeline Highway (HWY 31), NW and SE sides of roads, into woods.",33.90708,-86.83015,,140,m,GPS,,,,,,,,,,,,
